Unnamed: 0,review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes
60182,Relevant,5,107768*********831362,A Google user,2.44.15,2019-09-24T23:05:36.000Z,0
146570,Nice shopping,5,115648*********570294,A Google user,,2020-02-04T07:08:18.000Z,0
13854,I think?i dont know.,2,110423*********219285,A Google user,,2018-05-02T16:08:22.000Z,0
465823,Best shop ever,5,115541*********355861,A Google user,2.72.11,2021-06-21T11:58:50.000Z,0
375237,I'm so disappointed. Not even communicating properly. Especially at the Courier It is very slow to deliver the package.,1,110360*********176376,A Google user,,2021-01-22T06:45:15.000Z,0
522477,"Discount more, more",4,113447*********377199,A Google user,2.77.06,2021-09-27T13:48:08.000Z,0
653804,"Kapag may gusto akong bilhin mas prefer ko ang Shopee kasi pag nagcheck out ka, dalawa ung voucher na pwedeng gamitin. Pero ngayon isa na lang. :( Sana ibalik nila ung dating feature ni Shopee. :(",1,111220*********460049,A Google user,,2022-06-08T23:31:44.000Z,0
154827,Very helpful at sobrang mura ng nga items.,5,114883*********731554,A Google user,2.50.21,2020-02-21T01:52:52.000Z,0
573092,Good,4,104650*********460496,A Google user,,2021-12-27T03:16:53.000Z,0
107589,Ok,5,106199*********971396,A Google user,2.46.06,2019-11-28T14:42:12.000Z,0
481460,Amazing,5,117336*********576446,A Google user,2.73.10,2021-07-16T06:41:58.000Z,0
206069,"Newbie customer of Shopee, I'm a solid Lazada (Lazmall) lovers. Will update this after observation with Shopee. Anyways, welcome gift is somewhat amazing. :) What I like with Shopee is that they have Preferred stores, which is not hard to decide for purchasing with their products. :) Edited today June 6, 2020. Today my first order from a preferred store at Shopee is an amazing experienced. I was just received the product today from overseas, delivered fast, with great packaging . Thanks ;)",5,111858*********226502,A Google user,,2020-06-06T03:18:03.000Z,0
734734,Good,5,108561*********710172,A Google user,2.99.29,2023-04-08T07:30:53.000Z,0
738558,Nice shop...,5,107030*********247222,A Google user,3.01.24,2023-05-04T20:53:58.000Z,0
353831,Nice app..,5,111527*********703408,A Google user,2.63.29,2020-12-22T06:27:03.000Z,0
424156,The best ever,5,102646*********212769,A Google user,2.68.11,2021-04-14T04:00:48.000Z,0
776452,Been using for 2 years,5,111753*********414523,A Google user,,2023-10-23T04:49:45.000Z,0
